m 20x15
t 1 0 0 0.0
t 2 1 0 0.0
t 2 2 0 0.0
t 2 3 0 0.0
t 2 4 0 0.0
t 2 5 0 0.0
t 2 6 0 0.0
t 2 7 0 0.0
t 1 8 0 0.0
t 1 9 0 0.0
t 1 10 0 0.0
t 2 11 0 0.0
t 2 12 0 0.0
t 2 13 0 0.0
t 2 14 0 0.0
t 2 15 0 0.0
t 2 16 0 0.0
t 2 17 0 0.0
t 2 18 0 0.0
t 2 19 0 0.0
t 1 0 1 0.0
t 2 1 1 0.0
t 0 2 1 0.0
t 0 3 1 0.0
t 0 4 1 0.0
t 0 5 1 0.0
t 0 6 1 0.0
t 2 7 1 0.0
t 1 8 1 0.0
t 1 9 1 0.0
t 1 10 1 0.0
t 2 11 1 0.0
t 0 12 1 0.0
t 0 13 1 0.0
t 0 14 1 0.0
t 0 15 1 0.0
t 0 16 1 0.0
t 0 17 1 0.0
t 0 18 1 0.0
t 2 19 1 0.0
t 1 0 2 0.0
t 2 1 2 0.0
t 0 2 2 0.0
t 0 3 2 0.0
t 0 4 2 0.0
t 0 5 2 0.0
t 0 6 2 0.0
t 2 7 2 0.0
t 2 8 2 0.0
t 2 9 2 0.0
t 2 10 2 0.0
t 2 11 2 0.0
t 0 12 2 0.0
t 0 13 2 0.0
t 0 14 2 0.0
t 0 15 2 0.0
t 0 16 2 0.0
t 0 17 2 0.0
t 0 18 2 0.0
t 2 19 2 0.0
t 1 0 3 0.0
t 2 1 3 0.0
t 0 2 3 0.0
t 0 3 3 0.0
t 0 4 3 0.0
t 0 5 3 0.0
t 0 6 3 0.0
t 0 7 3 0.0
t 0 8 3 0.0
t 0 9 3 0.0
t 0 10 3 0.0
t 0 11 3 0.0
t 0 12 3 0.0
t 0 13 3 0.0
t 2 14 3 0.0
t 2 15 3 0.0
t 0 16 3 0.0
t 0 17 3 0.0
t 0 18 3 0.0
t 2 19 3 0.0
t 1 0 4 0.0
t 2 1 4 0.0
t 0 2 4 0.0
t 0 3 4 0.0
t 0 4 4 0.0
t 0 5 4 0.0
t 0 6 4 0.0
t 2 7 4 0.0
t 2 8 4 0.0
t 2 9 4 0.0
t 2 10 4 0.0
t 2 11 4 0.0
t 0 12 4 0.0
t 0 13 4 0.0
t 0 14 4 0.0
t 2 15 4 0.0
t 0 16 4 0.0
t 0 17 4 0.0
t 0 18 4 0.0
t 2 19 4 0.0
t 1 0 5 0.0
t 2 1 5 0.0
t 2 2 5 0.0
t 2 3 5 0.0
t 0 4 5 0.0
t 2 5 5 0.0
t 2 6 5 0.0
t 2 7 5 0.0
t 1 8 5 0.0
t 1 9 5 0.0
t 1 10 5 0.0
t 2 11 5 0.0
t 0 12 5 0.0
t 0 13 5 0.0
t 0 14 5 0.0
t 2 15 5 0.0
t 0 16 5 0.0
t 0 17 5 0.0
t 0 18 5 0.0
t 2 19 5 0.0
t 1 0 6 0.0
t 1 1 6 0.0
t 1 2 6 0.0
t 1 3 6 0.0
t 0 4 6 0.0
t 1 5 6 0.0
t 1 6 6 0.0
t 1 7 6 0.0
t 1 8 6 0.0
t 1 9 6 0.0
t 1 10 6 0.0
t 2 11 6 0.0
t 2 12 6 0.0
t 2 13 6 0.0
t 2 14 6 0.0
t 2 15 6 0.0
t 0 16 6 0.0
t 2 17 6 0.0
t 2 18 6 0.0
t 2 19 6 0.0
t 1 0 7 0.0
t 1 1 7 0.0
t 1 2 7 0.0
t 1 3 7 0.0
t 0 4 7 0.0
t 1 5 7 0.0
t 1 6 7 0.0
t 1 7 7 0.0
